"text","labels"
"неплохая хули немного маломерит не взяли сын забраковал","Проблемы с Продуктом"
"куртка подошла по всем параметрам мы пухленькие  за исключением брака шнур который стягивает куртку позади вылетел из шва и чтоб его поправить нужно отшивать подкладку куртуку перезаказала прошу не снимать сумму за возврат товара","Проблемы с Продуктом"
"комбез качества хорошего но мне пришел с браком перекручена лямка и затяжка спереди размер 98","Проблемы с Продуктом"
"заказала бежевую на рост 140за 125 белрубсвою цену по качеству не оправдываетна капешоне пятна как от краски швы под мышками разошлисьзнаю что данные куртки бывают в районе 46 белруб это максимальная цена за которую я бы её купила и то с учётом если она будет без малейшего брака","Проблемы с Продуктом"
"качество низкое от куртки исходит сильный химический запах ткань неприятная на ощупь много где торчат нитки и на рост 135 нормального телосложения размер 140 оказался мал рукава коротки узки в локтях при сгибе есть зимняя парка премонт размер такой же 140  она совсем иного качества очень хорошая из достоинств  только светоотражающий узор на куртке","Изменения в Операционной Деятельности"
"на лицевой стороне очень много затяжек поэтому возврат по браку а так пальто хорошее","Проблемы с Продуктом"
"джемпер классный пришёл вовремя упаковка отличная приобрела как подарок на новый год внуку","Логистические Особенности"
"очень внешне понравилось пальто размер отлично подошёл но как в предыдущих отзывах писали узкий рукав особенно в районе манжет также куртка пришла с браком очень много торчащих ниток соответсвенно отказ и взяли другую","Проблемы с Продуктом"
"качество соответствует цене получен товар вовремя 1 сентября","Логистические Особенности"
"на рост 130 худенькая девочка рукава пальто узкие разве что на тонкую водолазку не первый раз примеряем перемонт и опять узкий рукав это же верхняя одежда под неё ребёнок кофту надевает","Изменения в Операционной Деятельности"
"качество отличное уже 2 куртка этой фирмы первую брала в мазе искала точно такую же так как ребёнок носит второй сезон без проблем валяется на горке и не мерзнет эта тоже по этикеткам отшита по заказу мазы","Логистические Особенности"
"куртка не понравиласьшвы ужасные исчеркано ручкой в нескольких местах и просвечивает наполнительи заявку на брак не оформить потому что я её не выкупила но за возврат почему то должна платить","Проблемы с Продуктом"
"неплохой костюм пришёл без брака размеру соответствует на фото цвет красивее единственное ужасная опушка на капюшоне выглядит не очень сын выбрал другую модель поэтому отказ","Проблемы с Продуктом"
"притензий к платью нет но оно мало мерит и замок бракованный оказался","Проблемы с Продуктом"
"куртка классная но на плотную девочку очень объемная подойдёт для худышек выбрали другую куртку этого же бренда очень любим премонт","Изменения в Операционной Деятельности"
"хорошие брюки купили на валдбирисе за 60 руб хотя вся школьная форма в магазинах на распродажах стоит дешевле главное дождаться конца августа","Промо-Активности"
"пишу спустя месяц после покупки на рост 110 взяла размер 110 есть небольшой запас внешне симпатичный и лаконичный светоотражатели хорошо отражают но качество исполнения на 3 ткань как многие пишут действительно тонкая совсем не тот премонт что покупала раньше  не везде швы прошиты много торчащих ниток но сразу возвращать не стала холода уже наступили и ребёнку комбинезон понравился недавно ребёнок упал на колено в результате кусок ткани будто выдран и шов между ног порвался понимаю что это дети они бегают прыгают могут упасть но с этим расчётом одежда и делается а не чтобы ребёнок сидел смирно на месте","Изменения в Операционной Деятельности"
"в целом хорошая курточка смотрится красиво нам пришла бракованная внутри где манжета полность разорвана но мы пришли в остальном хороша тёплая удобная","Проблемы с Продуктом"
"классная и очень тёплая куртка на рост 138 взяла 146 классно выглядит пришла в хорошо упакованный пакет без брака дочка довольна а мама спокойна в тепле ребёнок","Проблемы с Продуктом"
"комбинезон хороший но нам попался с браком внизу штанины где можно было бы сузить её не правильно приклеена липучка те не получается её сузитьсразу не заметили так как не надевали  теперь и не вернуть","Проблемы с Продуктом"
"платья пришло хорошего качество без бракаочень стильное доча восторгена рост 142 заказали размер 36","Проблемы с Продуктом"
"товар пришел бракованный очень обидно  куртка на межсезонье отличная","Проблемы с Продуктом"
"одна лямка перекручена и пришита развернуть ее нет возможности лямки не съемныена чашке грязное серое пятномаломеритдлину лямок пришлось сделать на максимум возможно ли вернуть т к завернутая в спираль лямка это явный брак","Проблемы с Продуктом"
"пуховики шикарные очень долго не могла определиться брать бежевый или зелёный бежевый шелковый зелёный непромокаемая тканьэто огромный плюс в зелёном без проблем застёгивается молния в бежевом попадает ткань это минус если нужна практичностьберите зелёный однозначно тряпочкой грязь протер и все никаких проблем но именно моей дочке к лицу был бежевый выбрали его тк у нас есть ещё комбинезон непромокаемый решили рискнуть","Логистические Особенности"
"куртка с браком","Проблемы с Продуктом"
"качество костюма хорошее  но пришел костюм ношеный  грязный с дыркой на коленкемолния тоже с браком  возврат товара","Проблемы с Продуктом"
"брала 2 куртки описание дам идентичное тк реально все косяки похожие чтото совсем не понравилась куртка несколько лет покупаю ребенку на зиму премонт и имею представление о фирме эта же куртка какая то тощая утеплитель комками в местах строчки вообще пусто для 30 явно не прокатит я бы и сейчас в 15 не одела тк местами пустота и ребенка продует цвет серый мышиный голубых оттенков как на фото нет совсем на этикетке ни слова о канаде только китай в общем полное разочарование","Изменения в Операционной Деятельности"
"куртка теплая хорошо сшита не подошла к сожалению а так рекомендую быстрая доставка за два дня","Логистические Особенности"
"классный комбез оригинал reima красивый дочке очень идёт хотела привезти его из италии там на официальном сайте сейчас цена 99 евро на него на скидках смысла нет купила здесь по той же цене практически","Промо-Активности"
"долгое ожидание и прислали дошколный размер с микки и минни маусом вместо ращмера 140","Проблемы с Обслуживанием"
"сама по себе куртка нормальная но когда стали смотреть обнаружили брак очень обидновозврат","Проблемы с Продуктом"
