"text","labels"
"пришел без упаковки в пакете связаться с валдбирис невозможно я была в отъезде и получал товар другой человек когда увидела покупку то очень неприятное ощущение возникло не заслуживает продавец доверия","CMPFunctions_Sales"
"свитшот очень понравился возврат не планировали по ошибке менеджера оформился  перезакажу","CMPFunctions_Management"
"комбинезон очень хороший но продавец будьте внимательнее за место 104 110отправили размер 116 естественно возврат  так как он велик","CMPFunctions_Sales"
"модель не плохая но качество ужасное и это за 2500р  присоединяюсь к предыдущим плохим отзывам к сожалению нитки торчат везде ткань рыхлая и просвечивает расходится по швам да ещё и продавец похоже пытается заведомо сплавить брак по цене хорошей вещи дыра уже была даже подчеркнута совести нет","CMPFunctions_Sales"
"заказали чуть больше но будет на вырост качество хорошее кнопки все на месте и работают хорошо нитки не торчат в подарок продавец положил носочки спасибо ребенок в восторге","CMPFunctions_Sales"
"мне как и всем пришла 1 куртка ну неужели на складе нельзя проверить перед отправкой ведь это вина комплектовщика","CMPFunctions_Warehouse"
"комбинезон оченьочень сильно больше меряет пришёл местами порвано отказалась сразу же на пункте выдачи не забирай его домой прошу вернуть 75 руб на склад это же не моя вина что присылать такие вещи в ужасном состоянии","CMPFunctions_Warehouse"
"сама куртка класс идёт размер в размер выбрали и сразу хотели забрать стали упаковывать при менеджере и я увидел надпись на куртке имя и фамилия ребёнка носившего куртку  эльвира люди вы что не можете купить своему ребёнку куртку на сезон противно сдаёте бу вещи","CMPFunctions_Management"
"заказывала 146152 в заказе пришла куртка 134146 а на прикрепленном ценнике 146152 продавец обратите внимание на это я перезаказала надеюсь мне опять не придёт эта куртка а так очень модная куртка ребёнку понравилась если придёт нужный размер  купим","CMPFunctions_Sales"
"качество хорошее сын выбрал эту куртку ему она сразу понравилась жаль что карманы на кнопках возможно продавец выпустит новую модель с молниями заказывала 2 размера на выбор сделали выбор в пользу одного из размеров подходит на плотных мальчиков","CMPFunctions_Sales"
"пришла совсем другая куртка другой фирмы с какимто меховым капюшоном и выглядит дёшево на складе 34ошиблись34 или гдето ещё курток больше нет в наличии обидно конечно но рейтинг снижать не стала наверное куртка орби хорошая","CMPFunctions_Warehouse"
