"text","labels"
"пальто отличное размер подошел сидит отлично но пришло не комплект отсутствовал кармансумка на ремне поэтому отказ  очень жаль перезаказали надеюсь придет в полной комплектации и без брака","Events_Product_Issues"
"свитер хороший  но был брак  черное пятно с дырочкой на спине","Events_Product_Issues"
"быстрая доставка но горловина действительно узкая даже на худенькую девочку на свитер приходится чуть растегивать пришло с порваным одним карманом отказываться не стали срочно нужна была на замену а так бы возврат сделала","Events_Logistical_Features"
"почитав отзывы о том что даже на худеньких пальто узкое заказа на рост дочери 132 размер 10140 надо было брать 9 до этого была приталенная модель и все сидело как влитое данное пальто широкое и на худеньких очень свободное на спинке я считаю что оно совсем не маломерит а идёт с запасом если ребёнок худой берите в размер так как и так будет запас выкупила но думаю оденем не в эту весну брака нет все отшито хорошо красивое","Events_Product_Issues"
"цена явно завышено качество плохое торчат нитки вернула как брак на плече шов не прострочен виден синтепон 100 рублей за доставку сняли","Events_Product_Issues"
"качество соответствует цене получен товар вовремя 1 сентября","Events_Logistical_Features"
"хорошая куртка за эту цену но пришла с браком  порезана  перезаказали в надежде  что придет целая  зачем отправлять испорченный товар","Events_Product_Issues"
"качество страдает но сам фасон очень красивый пришел бракоторвана кнопка и сейчас в пвз не помечают брак поэтому будет плутать этот пуховик долго","Events_Product_Issues"
"все отлично только отсутствует хвостик на липучке на одном рукаве явный брак но wd не признал","Events_Product_Issues"
"все отлично быстрая доставка размер соответствует","Events_Logistical_Features"
"все соответствует быстрая доставка","Events_Logistical_Features"
"ткань куртки тонкая промокаемая не соответствует описанию точно не на осень не разделяю восторженные отзывов","Events_Product_Issues"
"красивая теплая но нам пришла с браком выкупили брак заметили позже у нас частично не прошит один карман будем решать вопрос самостоятельно тк дочери очень понравилась куртка узкий рукав  это правда но опять же смирились тк дочери понравился фасон альтернативы данной куртке не нашли очень оригинальная","Events_Product_Issues"
"какие то странные зацепки по всей кофте перзаказала размер надеюсь будет без бракасама кофта хороша","Events_Product_Issues"
"пишу спустя месяц после покупки на рост 110 взяла размер 110 есть небольшой запас внешне симпатичный и лаконичный светоотражатели хорошо отражают но качество исполнения на 3 ткань как многие пишут действительно тонкая совсем не тот премонт что покупала раньше  не везде швы прошиты много торчащих ниток но сразу возвращать не стала холода уже наступили и ребёнку комбинезон понравился недавно ребёнок упал на колено в результате кусок ткани будто выдран и шов между ног порвался понимаю что это дети они бегают прыгают могут упасть но с этим расчётом одежда и делается а не чтобы ребёнок сидел смирно на месте","Events_Operational_Changes"
"на рост 130см 134 самое тононам попался браквыкупили другое","Events_Product_Issues"
"отличное пальто быстрая доставка упаковка хорошая замок супер застёгивается спасибо","Events_Logistical_Features"
"рубашка понравилась размер соответствует материал приятныйно у нас попалась с браком надеюсь сервис не будет вычитать 75 руб за товар который приходит с браком а поставщик уберет его и упаковка была очень странная  рубашка упакована как новая но в рваном пакете","Events_Product_Issues"
"прислали с браком нет кнопки поэтому отказ а вообще курточка понравилась да пришла просто серая но мы такую и ждали прочитав отзывы","Events_Product_Issues"
"немного с браком но не критично","Events_Product_Issues"
"понравилась но пришла с браком р116 в размер рукава совсем без запаса","Events_Product_Issues"
"я в восторге аcoola как всегда на высоте качество отличное а скидка просто на ценнике то совсем другое размер соответствует полностью","Events_Promotions"
